time,Charging Current (mA),Discharging Current (mA),Pack Voltage (mV),String 1 Voltage(mV),String 2 Voltage(mV),String 3 Voltage(mV),String 4 Voltage(mV),Temp (C),State Of Charge (%)
1653244200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653244920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653245880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653246000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653246120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653246240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653246360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653246480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
